Males 2001,Females 2001,Males 2002,Females 2002,Males 2003,Females 2003,Males 2004,Females 2004,Males 2005,Females 2005,Males 2006,Females 2006,Males 2007,Females 2007,Males 2008,Females 2008,Males 2009,Females 2009,Males 2010,Females 2010,Males 2011,Females 2011,Males 2012,Females 2012
"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000"
"99,249","99,386","99,236","99,373","99,239","99,392","99,253","99,391","99,243","99,384","99,266","99,395","99,261","99,390","99,280","99,404","99,301","99,427","99,333","99,445","99,342","99,342","99,350","99,457"
"99,192","99,339","99,182","99,330","99,187","99,350","99,201","99,345","99,192","99,344","99,219","99,351","99,211","99,346","99,228","99,361","99,255","99,389","99,289","99,404","99,298","99,298","99,306","99,420"
"99,155","99,310","99,146","99,302","99,150","99,320","99,169","99,318","99,157","99,318","99,186","99,323","99,178","99,320","99,196","99,336","99,223","99,363","99,257","99,382","99,268","99,268","99,276","99,396"
"99,127","99,288","99,119","99,282","99,121","99,298","99,143","99,298","99,132","99,300","99,161","99,305","99,154","99,300","99,170","99,317","99,199","99,344","99,232","99,365","99,244","99,244","99,254","99,378"
"99,103","99,270","99,096","99,266","99,099","99,281","99,122","99,281","99,111","99,284","99,141","99,288","99,133","99,285","99,151","99,301","99,181","99,329","99,215","99,351","99,226","99,226","99,234","99,364"
"99,083","99,254","99,077","99,250","99,079","99,265","99,103","99,266","99,092","99,269","99,122","99,273","99,115","99,270","99,133","99,287","99,164","99,315","99,198","99,339","99,210","99,210","99,217","99,352"
"99,065","99,239","99,058","99,236","99,061","99,251","99,085","99,252","99,075","99,255","99,105","99,260","99,098","99,257","99,118","99,275","99,149","99,303","99,183","99,328","99,195","99,195","99,203","99,341"
"99,048","99,225","99,041","99,223","99,045","99,238","99,068","99,239","99,059","99,242","99,088","99,247","99,082","99,245","99,104","99,264","99,135","99,292","99,171","99,319","99,181","99,181","99,191","99,331"
"99,033","99,213","99,026","99,210","99,030","99,226","99,053","99,227","99,045","99,229","99,075","99,236","99,069","99,234","99,092","99,254","99,123","99,282","99,160","99,310","99,170","99,170","99,180","99,322"
"99,020","99,201","99,013","99,198","99,018","99,216","99,040","99,216","99,034","99,218","99,064","99,227","99,058","99,223","99,083","99,245","99,113","99,272","99,151","99,301","99,160","99,160","99,171","99,314"
"99,009","99,190","99,002","99,187","99,007","99,205","99,030","99,206","99,024","99,207","99,056","99,218","99,050","99,214","99,076","99,236","99,105","99,263","99,144","99,292","99,152","99,152","99,163","99,306"
"98,998","99,179","98,990","99,176","98,994","99,194","99,019","99,195","99,014","99,197","99,048","99,209","99,041","99,204","99,068","99,227","99,097","99,254","99,136","99,283","99,143","99,143","99,154","99,297"
"98,981","99,166","98,973","99,162","98,977","99,182","99,003","99,181","98,998","99,184","99,035","99,198","99,028","99,193","99,055","99,216","99,084","99,243","99,124","99,272","99,130","99,130","99,141","99,286"
"98,952","99,148","98,944","99,144","98,948","99,165","98,976","99,164","98,971","99,168","99,010","99,183","99,003","99,177","99,032","99,202","99,062","99,228","99,103","99,258","99,109","99,109","99,121","99,274"
"98,908","99,126","98,900","99,120","98,905","99,142","98,935","99,141","98,928","99,147","98,970","99,162","98,964","99,157","98,996","99,183","99,028","99,210","99,071","99,241","99,077","99,077","99,091","99,258"
"98,846","99,096","98,838","99,090","98,845","99,114","98,876","99,111","98,868","99,119","98,913","99,135","98,909","99,131","98,945","99,159","98,981","99,187","99,026","99,220","99,033","99,033","99,050","99,238"
"98,767","99,061","98,760","99,053","98,769","99,079","98,801","99,075","98,791","99,085","98,840","99,103","98,840","99,100","98,881","99,131","98,923","99,159","98,970","99,196","98,979","98,979","98,998","99,214"
"98,673","99,021","98,666","99,012","98,678","99,039","98,711","99,034","98,699","99,047","98,752","99,066","98,756","99,064","98,803","99,099","98,852","99,128","98,902","99,168","98,912","98,912","98,934","99,187"
"98,566","98,979","98,559","98,968","98,573","98,996","98,608","98,990","98,593","99,005","98,649","99,026","98,659","99,025","98,712","99,063","98,769","99,093","98,821","99,137","98,832","98,832","98,857","99,156"
